attempt_number,question_id,question_text,difficulty,weight,selection_count,unique_students,correct_count,wrong_count,accuracy_percent
1,cms5grmyf001fellkk12zqo0s,"Analisis perubahan suhu dan kelembapan di suatu tempat, lalu simpulkan pengaruhnya terhadap organisme yang hidup di sana.",HIGH,5,14,14,13,1,92.85714285714286
1,cms5grk4l0006ellk3xyozdns,"Analisis keadaan ketika sel bakteri pecah setelah banyak virus baru terbentuk, lalu simpulkan jenis daur virus yang terjadi.",HIGH,3,13,13,3,10,23.076923076923077
1,cms5grnor001rellkovt1l9dd,"Analisis keadaan ketika predator utama hilang dari suatu ekosistem, lalu simpulkan dampaknya terhadap jumlah mangsa.",HIGH,5,13,13,8,5,61.53846153846154
1,cms5grm780013ellk6xg8rtmv,"Analisis habitat hewan yang terpisah karena pembangunan jalan, lalu simpulkan cara yang tepat untuk membantu menjaga hewan tersebut.",HIGH,5,12,12,12,0,100
1,cms5grn5k001iellkwxpht1r3,"Analisis keadaan ketika jumlah tumbuhan dalam suatu ekosistem berkurang, lalu simpulkan dampaknya terhadap hewan pemakan tumbuhan.",HIGH,3,12,12,12,0,100
1,cms5grku5000iellk1pynjlnu,"Analisis kasus seseorang yang digigit hewan terkena rabies, lalu simpulkan tindakan pencegahan yang dapat dilakukan.",HIGH,3,11,11,7,4,63.63636363636363
1,cms5grmdt0016ellkx4vd9h94,"Analisis penggunaan bentuk tubuh, bagian dalam tubuh, dan ciri kimia dalam klasifikasi, lalu simpulkan manfaat memakai banyak ciri.",HIGH,3,10,10,7,3,70
1,cms5grlmw000uellkoe3xs2tq,"Analisis dua kelompok organisme yang memiliki banyak perbedaan dan tidak dapat menghasilkan keturunan yang subur, lalu simpulkan tingkat keanekaragamannya.",HIGH,3,9,9,1,8,11.11111111111111
1,cms5grop50028ellkzy6ise2s,Bedakan polutan fisik dan polutan kimia.,MEDIUM,7,9,9,9,0,100
1,cms5grnv4001uellkc5pgb2di,"Analisis perpindahan energi dari tumbuhan ke beberapa tingkat konsumen, lalu simpulkan mengapa energi semakin berkurang.",HIGH,3,8,8,6,2,75
1,cms5grokv0026ellkxbw4fyoz,"Analisis penebangan hutan dan pertambangan yang dilakukan berlebihan, lalu simpulkan dampaknya terhadap lingkungan.",HIGH,3,8,8,8,0,100
1,cms5grpbk002iellk56z8n3ni,"Analisis suara petasan, palu, kereta api, dan mesin pabrik, lalu simpulkan dasar pembagian jenis kebisingan tersebut.",HIGH,3,8,8,8,0,100
1,cms5gror90029ellkygxb0okm,"Analisis masuknya banyak limbah organik dan zat hara ke perairan, lalu simpulkan penyebab terjadinya eutrofikasi.",HIGH,1,6,6,6,0,100
1,cms5grk960008ellk5gt3yu4q,Jelaskan apa yang terjadi pada tahap adsorpsi bakteriofag.,MEDIUM,7,5,5,3,2,60
1,cms5grkba0009ellkm7vjkivc,"Analisis keadaan ketika DNA virus bergabung dengan DNA bakteri tanpa langsung merusak sel bakteri, lalu simpulkan nama bentuk DNA virus tersebut.",HIGH,1,5,5,1,4,20
1,cms5grld1000qellkgv1ew067,Bedakan keanekaragaman tingkat gen dan tingkat jenis.,MEDIUM,3,5,5,5,0,100
1,cms5grltb000xellk8qe4wujf,"Analisis penggunaan garis Wallace dan garis Weber di Indonesia, lalu simpulkan kegunaan kedua garis tersebut.",HIGH,1,5,5,5,0,100
1,cms5grmpq001bellkrm0uu6y6,Jelaskan cara kerja kunci determinasi dikotom.,MEDIUM,5,5,5,5,0,100
1,cms5grn9v001kellkckzehe7x,Bedakan dekomposer dan detritivor.,MEDIUM,7,5,5,5,0,100
1,cms5grngn001nellkgqqnxfeq,Jelaskan kompetisi interspesifik.,MEDIUM,5,5,5,4,1,80
1,cms5grnzj001wellkwv2lz3pi,"Bedakan piramida jumlah, biomassa, dan energi.",MEDIUM,7,5,5,5,0,100
1,cms5gro64001zellk5fyn77yk,Bedakan produktivitas primer kotor dan produktivitas primer bersih.,MEDIUM,5,5,5,4,1,80
1,cms5grptl002qellk3wf8rihd,Jelaskan cara mengurangi pencemaran dari bahan bakar fosil.,MEDIUM,3,5,5,5,0,100
1,cms5grkyu000kellk83c0lop9,Jelaskan respons tubuh setelah vaksin berhasil bekerja.,MEDIUM,7,4,4,1,3,25
1,cms5grl5e000nellk7wi2jmvc,Jelaskan mengapa vaksin perlu diuji sebelum digunakan banyak orang.,MEDIUM,5,4,4,4,0,100
1,cms5grlxj000zellk97axo4ks,Jelaskan ciri fauna Indonesia bagian timur.,MEDIUM,5,4,4,4,0,100
1,cms5grmhs0018ellkk61ractp,Tentukan penulisan nama ilmiah manusia yang benar.,MEDIUM,7,4,4,0,4,0
1,cms5grml10019ellk3lbi4fut,"Analisis dua organisme yang memiliki genus sama tetapi spesies berbeda, lalu simpulkan tingkat kekerabatannya.",HIGH,1,4,4,1,3,25
1,cms5grmw7001eellkzsy46a1l,Jelaskan kegunaan kladogram.,MEDIUM,3,4,4,4,0,100
1,cms5grjva0002ellkevps6l3q,Jelaskan mengapa virus disebut aseluler.,MEDIUM,3,3,3,1,2,33.33333333333333
1,cms5grkfb000bellkirjx09vi,Jelaskan cara vaksin membantu tubuh melawan penyakit akibat virus.,MEDIUM,5,3,3,3,0,100
1,cms5grklj000eellkm5be74fv,Tentukan penyakit yang disebabkan oleh Human Immunodeficiency Virus.,MEDIUM,3,3,3,3,0,100
1,cms5grl0y000lellk396c7184,"Analisis proses pembuatan vaksin mulai dari memilih bagian virus sampai dilakukan uji klinis, lalu simpulkan tujuan akhirnya.",HIGH,1,3,3,3,0,100
1,cms5grlrd000wellk0r267i1a,"Tentukan tingkat keanekaragaman pada hutan hujan, gurun, dan padang rumput.",MEDIUM,7,3,3,3,0,100
1,cms5grn0m001gellkk7nyppn6,Apa pengertian ekosistem?,LOW,7,3,3,3,0,100
1,cms5grogy0024ellkgax69tz1,Apa pengertian polutan?,LOW,7,3,3,3,0,100
1,cms5grp2d002eellkwcsgcm3b,Jelaskan bagaimana hujan asam dapat terbentuk.,MEDIUM,3,3,3,3,0,100
1,cms5grpfe002kellkxqct4ixi,Jelaskan peran mikroorganisme dalam pengolahan limbah cair.,MEDIUM,7,3,3,2,1,66.66666666666666
1,cms5grphi002lellkoa30zvxh,"Analisis limbah cair yang mengandung logam berat, lalu simpulkan cara pengolahan yang sesuai.",HIGH,1,3,3,3,0,100
1,cms5grpme002nellkurp12z4h,Jelaskan manfaat membuat kompos dari sampah organik.,MEDIUM,5,3,3,3,0,100
1,cms5grkda000aellkg6hvzy9z,Apa virus yang menyebabkan penyakit demam berdarah?,LOW,3,2,2,0,2,0
1,cms5grkwg000jellkivp7q3b3,Apa pengertian antigen?,LOW,5,2,2,1,1,50
1,cms5grm580012ellk006lstii,Bedakan pelestarian in situ dan ex situ.,MEDIUM,3,2,2,2,0,100
1,cms5grn82001jellkqirx1o7w,Apa contoh komponen abiotik?,LOW,5,2,2,0,2,0
1,cms5grnbz001lellkvpns4du4,"Analisis keadaan ekosistem tanpa organisme pengurai, lalu simpulkan akibat yang mungkin terjadi.",HIGH,1,2,2,2,0,100
1,cms5grnt0001tellko7e3cr1z,Bedakan rantai makanan dan jaring-jaring makanan.,MEDIUM,1,2,2,2,0,100
1,cms5gro1y001xellkezye4owe,"Analisis piramida energi dalam ekosistem, lalu simpulkan mengapa bentuknya tidak terbalik.",HIGH,1,2,2,2,0,100
1,cms5gromv0027ellkzqwkx8b4,Apa contoh polutan biologis?,LOW,5,2,2,2,0,100
1,cms5grovq002bellkepnz7m3o,Jelaskan mengapa plastik dan pestisida dapat mencemari tanah.,MEDIUM,5,2,2,2,0,100
1,cms5grpy2002sellkjdwlmdwa,Apa tindakan sederhana yang dapat dilakukan sebelum mengolah sampah?,LOW,7,2,2,2,0,100
1,cms5grjsv0001ellkm2gdmcmh,Apa maksud virus sebagai parasit intraseluler obligat?,LOW,1,1,1,1,0,100
1,cms5grk070004ellkxxhegvxr,Apa fungsi kapsid pada virus?,LOW,7,1,1,1,0,100
1,cms5grk2e0005ellkreewejr5,Bedakan virus DNA dan virus RNA berdasarkan materi genetiknya.,MEDIUM,1,1,1,0,1,0
1,cms5grk6u0007ellkfxgjfd9t,Apa fungsi serabut ekor pada bakteriofag?,LOW,5,1,1,1,0,100
1,cms5grkq8000gellklayqv8jv,Apa virus yang menyerang tanaman tembakau?,LOW,7,1,1,1,0,100
1,cms5grksb000hellkef9ykroj,Jelaskan dampak Tobacco Mosaic Virus pada tanaman tembakau.,MEDIUM,1,1,1,1,0,100
1,cms5grl35000mellkip5mttzg,Apa fungsi PCR dalam salah satu proses pembuatan vaksin?,MEDIUM,3,1,1,1,0,100
1,cms5grljt000tellk8fwbrm2v,Jelaskan penyebab adanya keanekaragaman hayati.,MEDIUM,1,1,1,1,0,100
1,cms5grm300011ellk19ui65ax,Apa fungsi plasma nutfah?,LOW,1,1,1,1,0,100
1,cms5grm9p0014ellkh1fgys94,Apa pengertian klasifikasi makhluk hidup?,LOW,7,1,1,1,0,100
1,cms5grmbx0015ellku99ppjgq,Jelaskan manfaat klasifikasi makhluk hidup.,MEDIUM,1,1,1,1,0,100
1,cms5grmfu0017ellkoouw6st7,Apa aturan penulisan kata pertama pada nama ilmiah?,LOW,5,1,1,1,0,100
1,cms5grne5001mellk6ua9up4o,Apa pengertian niche atau relung?,LOW,3,1,1,1,0,100
1,cms5grnl8001pellkmrniewqg,Apa contoh hubungan mutualisme?,MEDIUM,1,1,1,1,0,100
1,cms5grnmw001qellkg1im6g3d,Jelaskan hubungan ikan remora dan paus.,MEDIUM,3,1,1,1,0,100
1,cms5gro3v001yellkl055yje4,Apa pengertian produktivitas primer?,LOW,3,1,1,0,1,0
1,cms5grocw0022ellkuins4x6b,Jelaskan perubahan amonia menjadi nitrit kemudian menjadi nitrat.,MEDIUM,3,1,1,1,0,100
1,cms5grotj002aellkefnkw6g8,Apa pengertian pencemaran air?,LOW,3,1,1,1,0,100
1,cms5grp6t002gellk3rqursoo,Apa batas kebisingan yang disebut sebagai pencemaran suara dalam materi?,LOW,7,1,1,1,0,100
1,cms5grpdh002jellkg60idwu9,Apa fungsi penyaringan dalam pengolahan limbah cair?,LOW,5,1,1,1,0,100
2,cms5grjxi0003ellk8iq399jc,"Analisis sifat virus yang dapat dikristalkan di luar sel tetapi berkembang biak di dalam sel hidup, lalu simpulkan sifat virus tersebut.",HIGH,5,20,20,18,2,90
2,cms5grm780013ellk6xg8rtmv,"Analisis habitat hewan yang terpisah karena pembangunan jalan, lalu simpulkan cara yang tepat untuk membantu menjaga hewan tersebut.",HIGH,5,19,19,19,0,100
2,cms5grnj7001oellk6cek7m3g,"Analisis pohon pinus yang menghambat pertumbuhan tanaman lain di sekitarnya, lalu simpulkan jenis interaksi yang terjadi.",HIGH,7,19,19,13,6,68.42105263157895
2,cms5groy0002cellkjc3zmjxy,"Analisis penggunaan kendaraan bermotor dan bahan yang menghasilkan CFC, lalu simpulkan dampaknya terhadap udara dan atmosfer.",HIGH,7,18,18,17,1,94.44444444444444
2,cms5grnor001rellkovt1l9dd,"Analisis keadaan ketika predator utama hilang dari suatu ekosistem, lalu simpulkan dampaknya terhadap jumlah mangsa.",HIGH,5,17,17,12,5,70.58823529411765
2,cms5grpok002oellksg7usmpd,"Analisis sampah yang terdiri dari sisa makanan, plastik, dan bahan lain, lalu simpulkan mengapa sampah perlu dipisahkan sebelum diolah.",HIGH,7,17,17,17,0,100
2,cms5grkh8000cellkhcs91udp,"Analisis penularan virus melalui percikan batuk atau bersin, lalu simpulkan cara yang tepat untuk mengurangi penularannya.",HIGH,7,16,16,16,0,100
2,cms5grmrz001cellkibs7wu53,"Analisis hewan yang tidak bertulang belakang, memiliki sayap, dan mulut menggigit, lalu simpulkan hewan yang sesuai.",HIGH,7,16,16,15,1,93.75
2,cms5gro7y0020ellkcu82jdk7,"Analisis penggunaan bahan bakar fosil yang semakin banyak, lalu simpulkan dampaknya terhadap karbon dioksida di udara.",HIGH,7,14,14,14,0,100
2,cms5grpvv002rellkidjj8r0k,"Analisis musim kering yang berlangsung semakin lama, lalu simpulkan dampaknya terhadap air dan makhluk hidup.",HIGH,5,14,14,14,0,100
2,cms5grknw000fellk00nls073,"Analisis beberapa cara penularan HIV, lalu simpulkan kegiatan yang tidak dapat menularkan HIV.",HIGH,5,13,13,7,6,53.84615384615385
2,cms5groes0023ellkl212y4t7,"Analisis daerah yang kehilangan banyak tumbuhan, lalu simpulkan pengaruhnya terhadap air yang masuk ke tanah dan air yang mengalir di permukaan.",HIGH,5,13,13,11,2,84.61538461538461
2,cms5grnv4001uellkc5pgb2di,"Analisis perpindahan energi dari tumbuhan ke beberapa tingkat konsumen, lalu simpulkan mengapa energi semakin berkurang.",HIGH,3,12,12,12,0,100
2,cms5grl8d000oellkvsimfdwt,"Analisis penggunaan virus yang sudah dilemahkan dalam vaksin, lalu simpulkan mengapa virus tersebut dapat membantu mencegah penyakit.",HIGH,7,11,11,11,0,100
2,cms5grlzg0010ellkdj450mym,"Analisis keadaan hewan yang kehilangan tempat hidup karena hutan berubah menjadi permukiman, lalu simpulkan ancaman yang terjadi.",HIGH,7,11,11,11,0,100
2,cms5grp4o002fellkp7ydi6xb,"Analisis jumlah gas rumah kaca yang semakin meningkat, lalu simpulkan dampaknya terhadap suhu bumi.",HIGH,5,11,11,11,0,100
2,cms5grlf7000rellk3c5znwvj,"Analisis beberapa jenis mangga yang masih termasuk satu spesies, lalu simpulkan tingkat keanekaragaman yang terjadi.",HIGH,5,10,10,6,4,60
2,cms5grku5000iellk1pynjlnu,"Analisis kasus seseorang yang digigit hewan terkena rabies, lalu simpulkan tindakan pencegahan yang dapat dilakukan.",HIGH,3,9,9,5,4,55.55555555555556
2,cms5grlmw000uellkoe3xs2tq,"Analisis dua kelompok organisme yang memiliki banyak perbedaan dan tidak dapat menghasilkan keturunan yang subur, lalu simpulkan tingkat keanekaragamannya.",HIGH,3,9,9,3,6,33.33333333333333
2,cms5grn5k001iellkwxpht1r3,"Analisis keadaan ketika jumlah tumbuhan dalam suatu ekosistem berkurang, lalu simpulkan dampaknya terhadap hewan pemakan tumbuhan.",HIGH,3,9,9,9,0,100
2,cms5grokv0026ellkxbw4fyoz,"Analisis penebangan hutan dan pertambangan yang dilakukan berlebihan, lalu simpulkan dampaknya terhadap lingkungan.",HIGH,3,9,9,9,0,100
2,cms5grmyf001fellkk12zqo0s,"Analisis perubahan suhu dan kelembapan di suatu tempat, lalu simpulkan pengaruhnya terhadap organisme yang hidup di sana.",HIGH,5,8,8,7,1,87.5
2,cms5grpbk002iellk56z8n3ni,"Analisis suara petasan, palu, kereta api, dan mesin pabrik, lalu simpulkan dasar pembagian jenis kebisingan tersebut.",HIGH,3,8,8,8,0,100
2,cms5grpme002nellkurp12z4h,Jelaskan manfaat membuat kompos dari sampah organik.,MEDIUM,5,8,8,5,3,62.5
2,cms5grk4l0006ellk3xyozdns,"Analisis keadaan ketika sel bakteri pecah setelah banyak virus baru terbentuk, lalu simpulkan jenis daur virus yang terjadi.",HIGH,3,7,7,1,6,14.285714285714285
2,cms5grnzj001wellkwv2lz3pi,"Bedakan piramida jumlah, biomassa, dan energi.",MEDIUM,7,7,7,6,1,85.71428571428571
2,cms5gro1y001xellkezye4owe,"Analisis piramida energi dalam ekosistem, lalu simpulkan mengapa bentuknya tidak terbalik.",HIGH,1,7,7,6,1,85.71428571428571
2,cms5grkba0009ellkm7vjkivc,"Analisis keadaan ketika DNA virus bergabung dengan DNA bakteri tanpa langsung merusak sel bakteri, lalu simpulkan nama bentuk DNA virus tersebut.",HIGH,1,6,6,1,5,16.666666666666664
2,cms5grmdt0016ellkx4vd9h94,"Analisis penggunaan bentuk tubuh, bagian dalam tubuh, dan ciri kimia dalam klasifikasi, lalu simpulkan manfaat memakai banyak ciri.",HIGH,3,6,6,6,0,100
2,cms5gro64001zellk5fyn77yk,Bedakan produktivitas primer kotor dan produktivitas primer bersih.,MEDIUM,5,6,6,6,0,100
2,cms5gror90029ellkygxb0okm,"Analisis masuknya banyak limbah organik dan zat hara ke perairan, lalu simpulkan penyebab terjadinya eutrofikasi.",HIGH,1,6,6,6,0,100
2,cms5grkfb000bellkirjx09vi,Jelaskan cara vaksin membantu tubuh melawan penyakit akibat virus.,MEDIUM,5,5,5,5,0,100
2,cms5grlxj000zellk97axo4ks,Jelaskan ciri fauna Indonesia bagian timur.,MEDIUM,5,5,5,5,0,100
2,cms5grnqz001sellky1h5engm,Apa pengertian rantai makanan?,LOW,7,5,5,4,1,80
2,cms5grphi002lellkoa30zvxh,"Analisis limbah cair yang mengandung logam berat, lalu simpulkan cara pengolahan yang sesuai.",HIGH,1,5,5,5,0,100
2,cms5grl35000mellkip5mttzg,Apa fungsi PCR dalam salah satu proses pembuatan vaksin?,MEDIUM,3,4,4,3,1,75
2,cms5grl5e000nellk7wi2jmvc,Jelaskan mengapa vaksin perlu diuji sebelum digunakan banyak orang.,MEDIUM,5,4,4,4,0,100
2,cms5grngn001nellkgqqnxfeq,Jelaskan kompetisi interspesifik.,MEDIUM,5,4,4,3,1,75
2,cms5grop50028ellkzy6ise2s,Bedakan polutan fisik dan polutan kimia.,MEDIUM,7,4,4,4,0,100
2,cms5grpdh002jellkg60idwu9,Apa fungsi penyaringan dalam pengolahan limbah cair?,LOW,5,4,4,3,1,75
2,cms5grl0y000lellk396c7184,"Analisis proses pembuatan vaksin mulai dari memilih bagian virus sampai dilakukan uji klinis, lalu simpulkan tujuan akhirnya.",HIGH,1,3,3,3,0,100
2,cms5grlrd000wellk0r267i1a,"Tentukan tingkat keanekaragaman pada hutan hujan, gurun, dan padang rumput.",MEDIUM,7,3,3,3,0,100
2,cms5grm9p0014ellkh1fgys94,Apa pengertian klasifikasi makhluk hidup?,LOW,7,3,3,3,0,100
2,cms5grml10019ellk3lbi4fut,"Analisis dua organisme yang memiliki genus sama tetapi spesies berbeda, lalu simpulkan tingkat kekerabatannya.",HIGH,1,3,3,3,0,100
2,cms5grmw7001eellkzsy46a1l,Jelaskan kegunaan kladogram.,MEDIUM,3,3,3,3,0,100
2,cms5grn0m001gellkk7nyppn6,Apa pengertian ekosistem?,LOW,7,3,3,2,1,66.66666666666666
2,cms5grn82001jellkqirx1o7w,Apa contoh komponen abiotik?,LOW,5,3,3,2,1,66.66666666666666
2,cms5groiw0025ellk22g9sjd3,Bedakan perubahan lingkungan karena faktor alami dan faktor manusia.,MEDIUM,1,3,3,2,1,66.66666666666666
2,cms5grp6t002gellk3rqursoo,Apa batas kebisingan yang disebut sebagai pencemaran suara dalam materi?,LOW,7,3,3,1,2,33.33333333333333
2,cms5grk960008ellk5gt3yu4q,Jelaskan apa yang terjadi pada tahap adsorpsi bakteriofag.,MEDIUM,7,2,2,2,0,100
2,cms5grkda000aellkg6hvzy9z,Apa virus yang menyebabkan penyakit demam berdarah?,LOW,3,2,2,1,1,50
2,cms5grklj000eellkm5be74fv,Tentukan penyakit yang disebabkan oleh Human Immunodeficiency Virus.,MEDIUM,3,2,2,0,2,0
2,cms5grkq8000gellklayqv8jv,Apa virus yang menyerang tanaman tembakau?,LOW,7,2,2,1,1,50
2,cms5grkyu000kellk83c0lop9,Jelaskan respons tubuh setelah vaksin berhasil bekerja.,MEDIUM,7,2,2,1,1,50
2,cms5grlpb000vellkjed06zxm,Apa contoh keanekaragaman tingkat gen?,LOW,5,2,2,1,1,50
2,cms5grltb000xellk8qe4wujf,"Analisis penggunaan garis Wallace dan garis Weber di Indonesia, lalu simpulkan kegunaan kedua garis tersebut.",HIGH,1,2,2,2,0,100
2,cms5grmfu0017ellkoouw6st7,Apa aturan penulisan kata pertama pada nama ilmiah?,LOW,5,2,2,0,2,0
2,cms5grmhs0018ellkk61ractp,Tentukan penulisan nama ilmiah manusia yang benar.,MEDIUM,7,2,2,0,2,0
2,cms5grmpq001bellkrm0uu6y6,Jelaskan cara kerja kunci determinasi dikotom.,MEDIUM,5,2,2,2,0,100
2,cms5grn2u001hellk4ras8pz4,Jelaskan peran produsen dalam ekosistem.,MEDIUM,1,2,2,2,0,100
2,cms5grn9v001kellkckzehe7x,Bedakan dekomposer dan detritivor.,MEDIUM,7,2,2,2,0,100
2,cms5grnbz001lellkvpns4du4,"Analisis keadaan ekosistem tanpa organisme pengurai, lalu simpulkan akibat yang mungkin terjadi.",HIGH,1,2,2,2,0,100
2,cms5grocw0022ellkuins4x6b,Jelaskan perubahan amonia menjadi nitrit kemudian menjadi nitrat.,MEDIUM,3,2,2,2,0,100
2,cms5grogy0024ellkgax69tz1,Apa pengertian polutan?,LOW,7,2,2,2,0,100
2,cms5grpjr002mellkgi6j4881,Apa contoh sampah organik yang dapat dibuat menjadi kompos?,LOW,3,2,2,1,1,50
2,cms5grpqt002pellkpc1xpx7k,Apa pengertian daur ulang?,LOW,1,2,2,2,0,100
2,cms5grpy2002sellkjdwlmdwa,Apa tindakan sederhana yang dapat dilakukan sebelum mengolah sampah?,LOW,7,2,2,2,0,100
2,cms5grjva0002ellkevps6l3q,Jelaskan mengapa virus disebut aseluler.,MEDIUM,3,1,1,0,1,0
2,cms5grk070004ellkxxhegvxr,Apa fungsi kapsid pada virus?,LOW,7,1,1,0,1,0
2,cms5grk6u0007ellkfxgjfd9t,Apa fungsi serabut ekor pada bakteriofag?,LOW,5,1,1,1,0,100
2,cms5grkje000dellki7otuw19,Apa nama penyakit yang dapat dicegah dengan vaksin polio?,LOW,1,1,1,0,1,0
2,cms5grksb000hellkef9ykroj,Jelaskan dampak Tobacco Mosaic Virus pada tanaman tembakau.,MEDIUM,1,1,1,1,0,100
2,cms5grkwg000jellkivp7q3b3,Apa pengertian antigen?,LOW,5,1,1,0,1,0
2,cms5grlan000pellk9vt8k6yy,Apa nama virus yang menyerang bakteri?,LOW,1,1,1,1,0,100
2,cms5grld1000qellkgv1ew067,Bedakan keanekaragaman tingkat gen dan tingkat jenis.,MEDIUM,3,1,1,1,0,100
2,cms5grlh5000sellksaqt0ezi,Apa pengertian keanekaragaman hayati?,LOW,7,1,1,1,0,100
2,cms5grm580012ellk006lstii,Bedakan pelestarian in situ dan ex situ.,MEDIUM,3,1,1,1,0,100
2,cms5grmbx0015ellku99ppjgq,Jelaskan manfaat klasifikasi makhluk hidup.,MEDIUM,1,1,1,1,0,100
2,cms5grmna001aellk3842of1l,Apa pengertian kunci determinasi?,LOW,3,1,1,1,0,100
2,cms5grmty001dellkxv8hfg62,Apa pengertian kladogram?,LOW,1,1,1,1,0,100
2,cms5grne5001mellk6ua9up4o,Apa pengertian niche atau relung?,LOW,3,1,1,0,1,0
2,cms5grnt0001tellko7e3cr1z,Bedakan rantai makanan dan jaring-jaring makanan.,MEDIUM,1,1,1,1,0,100
2,cms5grnxg001vellkd1mzqso6,Apa pengertian piramida ekologi?,LOW,5,1,1,0,1,0
2,cms5grovq002bellkepnz7m3o,Jelaskan mengapa plastik dan pestisida dapat mencemari tanah.,MEDIUM,5,1,1,1,0,100
2,cms5grp2d002eellkwcsgcm3b,Jelaskan bagaimana hujan asam dapat terbentuk.,MEDIUM,3,1,1,1,0,100
2,cms5grp9i002hellkifkihew6,Bedakan kebisingan impulsif dan kebisingan kontinu.,MEDIUM,1,1,1,1,0,100
2,cms5grpfe002kellkxqct4ixi,Jelaskan peran mikroorganisme dalam pengolahan limbah cair.,MEDIUM,7,1,1,1,0,100
2,cms5grptl002qellk3wf8rihd,Jelaskan cara mengurangi pencemaran dari bahan bakar fosil.,MEDIUM,3,1,1,1,0,100
